סמל יישוב,יישוב מחושב,תאור קבוצה סטטיסטית,שנת הודעה,Total,2019,2018,2017,2016,2015,2014
-2.0,מועצה אזורית חוף אשקלון,עבירות תנועה,,23,2,3,4,2,4,8
-2.0,מועצה אזורית חוף אשקלון,שאר עבירות,,13,1,1,1,-,4,6
-2.0,מועצה אזורית חוף הכרמל,Total,,7112,1002,1114,1408,1256,1079,1253
-2.0,מועצה אזורית חוף הכרמל,-,,1,-,1,-,-,-,-
-2.0,מועצה אזורית חוף הכרמל,סעיפי הגדרה,,2,-,-,1,-,1,-
-2.0,מועצה אזורית חוף הכרמל,עבירות בטחון,,51,8,12,4,8,8,11
-2.0,מועצה אזורית חוף הכרמל,עבירות כלכליות,,10,-,2,2,-,5,1
-2.0,מועצה אזורית חוף הכרמל,עבירות כלפי המוסר,,908,120,190,179,138,130,151
-2.0,מועצה אזורית חוף הכרמל,עבירות כלפי הרכוש,,3753,495,477,792,701,585,703
-2.0,מועצה אזורית חוף הכרמל,עבירות מין,,98,29,25,12,13,9,10
-2.0,מועצה אזורית חוף הכרמל,עבירות מנהליות,,10,4,2,-,3,1,-
-2.0,מועצה אזורית חוף הכרמל,עבירות מרמה,,235,31,29,39,50,32,54
-2.0,מועצה אזורית חוף הכרמל,עבירות נגד אדם,,11,4,1,2,1,2,1
-2.0,מועצה אזורית חוף הכרמל,עבירות נגד גוף,,986,163,180,178,174,136,155
-2.0,מועצה אזורית חוף הכרמל,עבירות סדר ציבורי,,1928,299,356,366,309,302,296
-2.0,מועצה אזורית חוף הכרמל,עבירות רשוי,,27,2,-,9,7,4,5
-2.0,מועצה אזורית חוף הכרמל,עבירות תנועה,,22,2,4,7,3,3,3
-2.0,מועצה אזורית חוף הכרמל,שאר עבירות,,4,-,-,1,1,1,1
-2.0,מועצה אזורית חוף השרון,Total,,3656,401,431,535,668,834,787
-2.0,מועצה אזורית חוף השרון,-,,2,-,1,1,-,-,-
-2.0,מועצה אזורית חוף השרון,סעיפי הגדרה,,1,-,1,-,-,-,-
-2.0,מועצה אזורית חוף השרון,עבירות בטחון,,12,1,1,1,5,3,1
-2.0,מועצה אזורית חוף השרון,עבירות כלכליות,,4,-,1,1,-,-,2
-2.0,מועצה אזורית חוף השרון,עבירות כלפי המוסר,,109,13,21,23,24,11,17
-2.0,מועצה אזורית חוף השרון,עבירות כלפי הרכוש,,2515,233,264,344,466,611,597
-2.0,מועצה אזורית חוף השרון,עבירות מין,,65,10,12,11,13,12,7
-2.0,מועצה אזורית חוף השרון,עבירות מרמה,,134,12,17,11,24,30,40
-2.0,מועצה אזורית חוף השרון,עבירות נגד אדם,,8,1,3,2,1,1,-
-2.0,מועצה אזורית חוף השרון,עבירות נגד גוף,,386,53,47,64,54,94,74
-2.0,מועצה אזורית חוף השרון,עבירות סדר ציבורי,,806,130,115,132,135,167,127
-2.0,מועצה אזורית חוף השרון,עבירות רשוי,,14,2,4,3,3,1,1
-2.0,מועצה אזורית חוף השרון,עבירות תנועה,,11,-,3,1,3,3,1
-2.0,מועצה אזורית יואב,Total,,1854,253,239,295,337,397,333
-2.0,מועצה אזורית יואב,-,,1,-,-,-,-,-,1
-2.0,מועצה אזורית יואב,עבירות בטחון,,24,1,2,6,7,5,3
-2.0,מועצה אזורית יואב,עבירות כלכליות,,3,2,-,1,-,-,-
-2.0,מועצה אזורית יואב,עבירות כלפי המוסר,,97,16,17,19,15,11,19
-2.0,מועצה אזורית יואב,עבירות כלפי הרכוש,,1175,151,140,178,210,293,203
-2.0,מועצה אזורית יואב,עבירות מין,,30,3,2,8,3,6,8
-2.0,מועצה אזורית יואב,עבירות מרמה,,36,3,4,5,9,12,3
-2.0,מועצה אזורית יואב,עבירות נגד אדם,,7,2,-,-,2,-,3
-2.0,מועצה אזורית יואב,עבירות נגד גוף,,199,39,29,30,35,34,32
-2.0,מועצה אזורית יואב,עבירות סדר ציבורי,,519,80,73,89,101,72,104
-2.0,מועצה אזורית יואב,עבירות רשוי,,25,7,3,3,5,-,7
-2.0,מועצה אזורית יואב,עבירות תנועה,,6,-,1,2,-,3,-
-2.0,מועצה אזורית לב השרון,Total,,4824,584,656,737,892,1021,934
-2.0,מועצה אזורית לב השרון,-,,3,-,-,-,1,1,1
-2.0,מועצה אזורית לב השרון,סעיפי הגדרה,,3,-,-,2,-,-,1
-2.0,מועצה אזורית לב השרון,עבירות בטחון,,37,4,4,6,5,6,12
-2.0,מועצה אזורית לב השרון,עבירות כלכליות,,3,2,-,-,1,-,-
-2.0,מועצה אזורית לב השרון,עבירות כלפי המוסר,,298,42,75,63,35,50,33
-2.0,מועצה אזורית לב השרון,עבירות כלפי הרכוש,,2652,272,268,364,550,622,576
-2.0,מועצה אזורית לב השרון,עבירות מין,,58,7,9,12,6,14,10
-2.0,מועצה אזורית לב השרון,עבירות מנהליות,,4,-,1,3,-,-,-
-2.0,מועצה אזורית לב השרון,עבירות מרמה,,101,10,8,32,14,20,17
-2.0,מועצה אזורית לב השרון,עבירות נגד אדם,,9,1,1,2,3,1,1
-2.0,מועצה אזורית לב השרון,עבירות נגד גוף,,713,116,90,103,122,144,138
-2.0,מועצה אזורית לב השרון,עבירות סדר ציבורי,,1716,257,301,273,276,318,291
-2.0,מועצה אזורית לב השרון,עבירות רשוי,,13,3,-,1,2,2,5
-2.0,מועצה אזורית לב השרון,עבירות תנועה,,22,-,4,7,1,6,4
-2.0,מועצה אזורית לב השרון,שאר עבירות,,3,1,-,-,1,1,-
-2.0,מועצה אזורית לכיש,Total,,2963,393,458,503,497,518,594
-2.0,מועצה אזורית לכיש,-,,1,-,-,-,-,-,1
-2.0,מועצה אזורית לכיש,סעיפי הגדרה,,2,-,-,2,-,-,-
-2.0,מועצה אזורית לכיש,עבירות בטחון,,33,4,3,11,2,7,6
-2.0,מועצה אזורית לכיש,עבירות כלכליות,,2,1,-,-,-,-,1
-2.0,מועצה אזורית לכיש,עבירות כלפי המוסר,,156,37,44,29,16,13,17
-2.0,מועצה אזורית לכיש,עבירות כלפי הרכוש,,1797,197,236,309,338,355,362
-2.0,מועצה אזורית לכיש,עבירות מין,,31,7,5,5,4,4,6
-2.0,מועצה אזורית לכיש,עבירות מרמה,,67,13,6,10,8,8,22
-2.0,מועצה אזורית לכיש,עבירות נגד אדם,,9,2,2,-,1,2,2
-2.0,מועצה אזורית לכיש,עבירות נגד גוף,,378,62,78,56,63,56,63
-2.0,מועצה אזורית לכיש,עבירות סדר ציבורי,,943,138,148,167,145,138,207
-2.0,מועצה אזורית לכיש,עבירות רשוי,,27,3,9,3,4,2,6
-2.0,מועצה אזורית לכיש,עבירות תנועה,,10,-,1,2,3,3,1
-2.0,מועצה אזורית לכיש,שאר עבירות,,1,-,-,-,-,-,1
-2.0,מועצה אזורית מבואות החרמון,Total,,1478,209,260,245,310,228,226
-2.0,מועצה אזורית מבואות החרמון,סעיפי הגדרה,,1,-,-,-,-,-,1
-2.0,מועצה אזורית מבואות החרמון,עבירות בטחון,,22,3,8,3,3,3,2
-2.0,מועצה אזורית מבואות החרמון,עבירות כלכליות,,4,-,-,-,1,3,-
-2.0,מועצה אזורית מבואות החרמון,עבירות כלפי המוסר,,420,70,102,75,69,54,50
-2.0,מועצה אזורית מבואות החרמון,עבירות כלפי הרכוש,,592,79,89,91,129,110,94
-2.0,מועצה אזורית מבואות החרמון,עבירות מין,,16,-,4,4,1,3,4
-2.0,מועצה אזורית מבואות החרמון,עבירות מרמה,,57,13,8,2,16,7,11
-2.0,מועצה אזורית מבואות החרמון,עבירות נגד אדם,,3,1,-,1,1,-,-
-2.0,מועצה אזורית מבואות החרמון,עבירות נגד גוף,,182,23,29,43,33,29,25
-2.0,מועצה אזורית מבואות החרמון,עבירות סדר ציבורי,,444,60,73,73,101,67,70
-2.0,מועצה אזורית מבואות החרמון,עבירות רשוי,,11,2,2,1,3,1,2
-2.0,מועצה אזורית מבואות החרמון,עבירות תנועה,,35,5,15,11,2,-,2
-2.0,מועצה אזורית מגידו,Total,,2044,312,349,347,303,331,402
-2.0,מועצה אזורית מגידו,-,,1,-,-,1,-,-,-
-2.0,מועצה אזורית מגידו,סעיפי הגדרה,,2,-,1,-,-,1,-
-2.0,מועצה אזורית מגידו,עבירות בטחון,,47,5,10,6,5,8,13
-2.0,מועצה אזורית מגידו,עבירות כלכליות,,3,-,1,1,-,1,-
-2.0,מועצה אזורית מגידו,עבירות כלפי המוסר,,243,22,52,51,40,33,45
-2.0,מועצה אזורית מגידו,עבירות כלפי הרכוש,,1151,196,206,193,163,210,183
-2.0,מועצה אזורית מגידו,עבירות מין,,20,7,3,3,4,-,3
-2.0,מועצה אזורית מגידו,עבירות מנהליות,,14,4,8,2,-,-,-
-2.0,מועצה אזורית מגידו,עבירות מרמה,,79,9,9,8,11,12,30
-2.0,מועצה אזורית מגידו,עבירות נגד אדם,,6,4,1,-,1,-,-
-2.0,מועצה אזורית מגידו,עבירות נגד גוף,,198,32,34,37,31,30,34
-2.0,מועצה אזורית מגידו,עבירות סדר ציבורי,,520,71,71,87,78,83,130
-2.0,מועצה אזורית מגידו,עבירות רשוי,,15,-,5,2,2,4,2
-2.0,מועצה אזורית מגידו,עבירות תנועה,,9,1,-,3,-,4,1
-2.0,מועצה אזורית מגידו,שאר עבירות,,4,1,1,1,-,1,-
-2.0,מועצה אזורית מגילות ים המלח,Total,,1045,124,194,175,158,162,232
-2.0,מועצה אזורית מגילות ים המלח,סעיפי הגדרה,,1,-,-,1,-,-,-
-2.0,מועצה אזורית מגילות ים המלח,עבירות בטחון,,106,12,25,13,18,17,21
-2.0,מועצה אזורית מגילות ים המלח,עבירות כלכליות,,5,-,1,-,-,-,4
-2.0,מועצה אזורית מגילות ים המלח,עבירות כלפי המוסר,,294,16,55,44,53,31,95
-2.0,מועצה אזורית מגילות ים המלח,עבירות כלפי הרכוש,,436,60,78,86,58,79,75
-2.0,מועצה אזורית מגילות ים המלח,עבירות מין,,25,4,4,6,6,3,2
-2.0,מועצה אזורית מגילות ים המלח,עבירות מרמה,,30,2,6,5,7,3,7
-2.0,מועצה אזורית מגילות ים המלח,עבירות נגד אדם,,7,1,2,1,2,1,-
-2.0,מועצה אזורית מגילות ים המלח,עבירות נגד גוף,,85,18,16,16,8,17,10
-2.0,מועצה אזורית מגילות ים המלח,עבירות סדר ציבורי,,184,32,35,23,23,29,42
-2.0,מועצה אזורית מגילות ים המלח,עבירות רשוי,,14,2,2,2,3,3,2
-2.0,מועצה אזורית מגילות ים המלח,עבירות תנועה,,8,2,3,2,-,-,1
-2.0,מועצה אזורית מגילות ים המלח,שאר עבירות,,4,-,-,-,-,1,3
-2.0,מועצה אזורית מטה אשר,Total,,5003,730,757,873,959,835,849
-2.0,מועצה אזורית מטה אשר,-,,7,4,-,1,1,-,1
-2.0,מועצה אזורית מטה אשר,סעיפי הגדרה,,4,-,2,-,-,2,-
-2.0,מועצה אזורית מטה אשר,עבירות בטחון,,75,15,15,13,8,15,9
-2.0,מועצה אזורית מטה אשר,עבירות כלכליות,,25,1,-,7,5,4,8
-2.0,מועצה אזורית מטה אשר,עבירות כלפי המוסר,,603,40,117,99,147,95,105
-2.0,מועצה אזורית מטה אשר,עבירות כלפי הרכוש,,2432,366,318,424,463,455,406
-2.0,מועצה אזורית מטה אשר,עבירות מין,,77,13,14,10,13,22,5
-2.0,מועצה אזורית מטה אשר,עבירות מרמה,,224,21,29,31,64,31,48
-2.0,מועצה אזורית מטה אשר,עבירות נגד אדם,,17,1,3,4,4,4,1
-2.0,מועצה אזורית מטה אשר,עבירות נגד גוף,,685,130,105,129,112,104,105
-2.0,מועצה אזורית מטה אשר,עבירות סדר ציבורי,,1721,273,287,316,305,254,286
-2.0,מועצה אזורית מטה אשר,עבירות רשוי,,26,4,2,5,1,4,10
-2.0,מועצה אזורית מטה אשר,עבירות תנועה,,44,2,4,11,17,4,6
-2.0,מועצה אזורית מטה אשר,שאר עבירות,,4,-,3,-,-,-,1
-2.0,מועצה אזורית מטה בנימין,Total,,6942,999,1157,1475,1059,1156,1096
-2.0,מועצה אזורית מטה בנימין,-,,17,2,4,4,4,3,-
-2.0,מועצה אזורית מטה בנימין,סעיפי הגדרה,,1,-,-,-,-,1,-
-2.0,מועצה אזורית מטה בנימין,עבירות בטחון,,865,65,144,159,141,237,119
-2.0,מועצה אזורית מטה בנימין,עבירות כלכליות,,7,2,1,1,1,-,2
-2.0,מועצה אזורית מטה בנימין,עבירות כלפי המוסר,,1144,113,193,346,190,150,152
-2.0,מועצה אזורית מטה בנימין,עבירות כלפי הרכוש,,2365,330,407,486,323,413,406
-2.0,מועצה אזורית מטה בנימין,עבירות מין,,242,45,51,56,34,26,30
-2.0,מועצה אזורית מטה בנימין,עבירות מנהליות,,1,-,1,-,-,-,-
-2.0,מועצה אזורית מטה בנימין,עבירות מרמה,,175,33,34,32,22,19,35
-2.0,מועצה אזורית מטה בנימין,עבירות נגד אדם,,55,5,10,8,14,14,4
-2.0,מועצה אזורית מטה בנימין,עבירות נגד גוף,,1127,209,176,219,176,158,189
-2.0,מועצה אזורית מטה בנימין,עבירות סדר ציבורי,,2367,414,417,438,372,345,381
-2.0,מועצה אזורית מטה בנימין,עבירות רשוי,,40,4,3,12,9,6,6
-2.0,מועצה אזורית מטה בנימין,עבירות תנועה,,17,1,3,4,1,5,3
-2.0,מועצה אזורית מטה בנימין,שאר עבירות,,17,2,1,8,1,1,4
-2.0,מועצה אזורית מטה יהודה,Total,,12350,1930,1966,1895,2113,2186,2260
-2.0,מועצה אזורית מטה יהודה,-,,7,3,1,-,1,1,1
-2.0,מועצה אזורית מטה יהודה,סעיפי הגדרה,,21,4,6,4,2,3,2
-2.0,מועצה אזורית מטה יהודה,עבירות בטחון,,241,41,38,35,30,62,35
-2.0,מועצה אזורית מטה יהודה,עבירות כלכליות,,19,5,4,4,1,1,4
-2.0,מועצה אזורית מטה יהודה,עבירות כלפי המוסר,,879,114,131,185,147,131,171
-2.0,מועצה אזורית מטה יהודה,עבירות כלפי הרכוש,,5924,878,910,871,1049,1129,1087
-2.0,מועצה אזורית מטה יהודה,עבירות מין,,200,36,33,40,32,28,31
-2.0,מועצה אזורית מטה יהודה,עבירות מנהליות,,3,-,2,-,1,-,-
-2.0,מועצה אזורית מטה יהודה,עבירות מרמה,,409,81,68,60,67,54,79
-2.0,מועצה אזורית מטה יהודה,עבירות נגד אדם,,21,5,3,4,-,2,7
-2.0,מועצה אזורית מטה יהודה,עבירות נגד גוף,,1769,296,326,254,294,304,295
-2.0,מועצה אזורית מטה יהודה,עבירות סדר ציבורי,,5105,867,906,817,824,805,886
-2.0,מועצה אזורית מטה יהודה,עבירות רשוי,,98,20,18,17,7,8,28
-2.0,מועצה אזורית מטה יהודה,עבירות תנועה,,78,10,11,15,17,12,13
-2.0,מועצה אזורית מטה יהודה,שאר עבירות,,17,1,-,4,3,3,6
-2.0,מועצה אזורית מנשה,Total,,3846,545,594,684,686,653,684
-2.0,מועצה אזורית מנשה,-,,5,-,3,-,2,-,-
-2.0,מועצה אזורית מנשה,סעיפי הגדרה,,2,-,1,-,1,-,-
-2.0,מועצה אזורית מנשה,עבירות בטחון,,92,7,11,12,12,26,24
-2.0,מועצה אזורית מנשה,עבירות כלכליות,,6,1,-,1,1,2,1
-2.0,מועצה אזורית מנשה,עבירות כלפי המוסר,,307,60,43,47,53,61,43
-2.0,מועצה אזורית מנשה,עבירות כלפי הרכוש,,1978,287,277,350,369,346,349
-2.0,מועצה אזורית מנשה,עבירות מין,,54,8,12,8,7,7,12
-2.0,מועצה אזורית מנשה,עבירות מנהליות,,1,-,-,-,1,-,-
-2.0,מועצה אזורית מנשה,עבירות מרמה,,104,9,17,13,17,15,33
-2.0,מועצה אזורית מנשה,עבירות נגד אדם,,8,-,4,3,-,1,-
-2.0,מועצה אזורית מנשה,עבירות נגד גוף,,610,80,92,122,102,102,112
-2.0,מועצה אזורית מנשה,עבירות סדר ציבורי,,1344,182,229,234,230,223,246
-2.0,מועצה אזורית מנשה,עבירות רשוי,,12,-,2,4,1,1,4
-2.0,מועצה אזורית מנשה,עבירות תנועה,,19,2,3,4,5,5,-
-2.0,מועצה אזורית מנשה,שאר עבירות,,2,-,1,-,1,-,-
-2.0,מועצה אזורית מעלה יוסף,Total,,1919,251,307,364,325,305,367
-2.0,מועצה אזורית מעלה יוסף,-,,2,-,-,-,1,1,-
-2.0,מועצה אזורית מעלה יוסף,סעיפי הגדרה,,1,-,1,-,-,-,-
-2.0,מועצה אזורית מעלה יוסף,עבירות בטחון,,30,6,6,4,4,4,6
-2.0,מועצה אזורית מעלה יוסף,עבירות כלכליות,,2,-,-,-,1,1,-
-2.0,מועצה אזורית מעלה יוסף,עבירות כלפי המוסר,,344,32,45,53,71,70,73
-2.0,מועצה אזורית מעלה יוסף,עבירות כלפי הרכוש,,731,103,123,155,120,94,136
-2.0,מועצה אזורית מעלה יוסף,עבירות מין,,28,6,6,5,3,6,2
-2.0,מועצה אזורית מעלה יוסף,עבירות מנהליות,,1,1,-,-,-,-,-
-2.0,מועצה אזורית מעלה יוסף,עבירות מרמה,,59,9,8,11,11,13,7
-2.0,מועצה אזורית מעלה יוסף,עבירות נגד אדם,,1,-,-,-,-,1,-
-2.0,מועצה אזורית מעלה יוסף,עבירות נגד גוף,,344,44,59,74,67,50,50
-2.0,מועצה אזורית מעלה יוסף,עבירות סדר ציבורי,,706,94,111,141,99,123,138
-2.0,מועצה אזורית מעלה יוסף,עבירות רשוי,,16,1,1,3,4,2,5
-2.0,מועצה אזורית מעלה יוסף,עבירות תנועה,,16,3,6,4,2,1,-
-2.0,מועצה אזורית מעלה יוסף,שאר עבירות,,2,-,-,-,-,-,2
-2.0,מועצה אזורית מרום הגליל,Total,,3690,574,586,568,619,647,696
-2.0,מועצה אזורית מרום הגליל,-,,2,-,-,2,-,-,-
-2.0,מועצה אזורית מרום הגליל,סעיפי הגדרה,,1,-,-,-,1,-,-
-2.0,מועצה אזורית מרום הגליל,עבירות בטחון,,78,40,7,9,4,9,9
-2.0,מועצה אזורית מרום הגליל,עבירות כלכליות,,4,2,-,-,1,1,-
-2.0,מועצה אזורית מרום הגליל,עבירות כלפי המוסר,,755,121,101,115,151,135,132
-2.0,מועצה אזורית מרום הגליל,עבירות כלפי הרכוש,,1289,162,200,229,210,219,269
-2.0,מועצה אזורית מרום הגליל,עבירות מין,,88,14,21,15,12,15,11
-2.0,מועצה אזורית מרום הגליל,עבירות מנהליות,,13,2,4,2,3,2,-
-2.0,מועצה אזורית מרום הגליל,עבירות מרמה,,54,4,8,7,16,13,6
-2.0,מועצה אזורית מרום הגליל,עבירות נגד אדם,,11,-,1,3,-,-,7
-2.0,מועצה אזורית מרום הגליל,עבירות נגד גוף,,716,105,130,112,117,123,129
-2.0,מועצה אזורית מרום הגליל,עבירות סדר ציבורי,,1359,234,236,186,228,235,240
-2.0,מועצה אזורית מרום הגליל,עבירות רשוי,,24,1,6,6,4,1,6
-2.0,מועצה אזורית מרום הגליל,עבירות תנועה,,22,10,4,2,3,2,1
-2.0,מועצה אזורית מרום הגליל,שאר עבירות,,4,1,-,1,1,-,1
-2.0,מועצה אזורית מרחבים,Total,,2500,428,439,435,362,424,412
-2.0,מועצה אזורית מרחבים,-,,1,-,-,-,-,1,-
-2.0,מועצה אזורית מרחבים,סעיפי הגדרה,,1,-,-,-,-,1,-
-2.0,מועצה אזורית מרחבים,עבירות בטחון,,23,5,4,6,1,1,6
-2.0,מועצה אזורית מרחבים,עבירות כלכליות,,9,6,-,-,1,1,1
-2.0,מועצה אזורית מרחבים,עבירות כלפי המוסר,,277,61,80,43,29,38,26
-2.0,מועצה אזורית מרחבים,עבירות כלפי הרכוש,,1398,256,231,242,189,250,230
-2.0,מועצה אזורית מרחבים,עבירות מין,,32,6,6,6,6,2,6
-2.0,מועצה אזורית מרחבים,עבירות מרמה,,56,13,3,5,5,18,12
-2.0,מועצה אזורית מרחבים,עבירות נגד אדם,,7,2,3,1,-,-,1
-2.0,מועצה אזורית מרחבים,עבירות נגד גוף,,340,45,65,62,58,57,53
-2.0,מועצה אזורית מרחבים,עבירות סדר ציבורי,,781,120,108,133,132,147,141
-2.0,מועצה אזורית מרחבים,עבירות רשוי,,17,8,1,3,1,3,1
-2.0,מועצה אזורית מרחבים,עבירות תנועה,,29,3,4,6,5,8,3
-2.0,מועצה אזורית מרחבים,שאר עבירות,,2,1,-,-,-,-,1
-2.0,מועצה אזורית משגב,Total,,3738,537,605,667,653,585,691
-2.0,מועצה אזורית משגב,סעיפי הגדרה,,3,-,-,-,-,1,2
-2.0,מועצה אזורית משגב,עבירות בטחון,,140,26,27,25,26,17,19
-2.0,מועצה אזורית משגב,עבירות כלכליות,,3,1,1,1,-,-,-
-2.0,מועצה אזורית משגב,עבירות כלפי המוסר,,762,78,133,161,141,118,131
-2.0,מועצה אזורית משגב,עבירות כלפי הרכוש,,1459,202,229,241,220,232,335
-2.0,מועצה אזורית משגב,עבירות מין,,40,6,6,6,10,7,5
-2.0,מועצה אזורית משגב,עבירות מנהליות,,1,1,-,-,-,-,-
-2.0,מועצה אזורית משגב,עבירות מרמה,,85,14,13,12,19,18,9
-2.0,מועצה אזורית משגב,עבירות נגד אדם,,8,1,1,1,-,2,3
-2.0,מועצה אזורית משגב,עבירות נגד גוף,,626,110,115,95,123,90,93
-2.0,מועצה אזורית משגב,עבירות סדר ציבורי,,1154,199,173,206,222,173,181
-2.0,מועצה אזורית משגב,עבירות רשוי,,29,-,2,11,5,4,7
-2.0,מועצה אזורית משגב,עבירות תנועה,,15,1,1,4,2,5,2
-2.0,מועצה אזורית משגב,שאר עבירות,,4,-,-,1,1,2,-
-2.0,מועצה אזורית נווה מדבר,Total,,1509,354,385,385,150,121,114
-2.0,מועצה אזורית נווה מדבר,סעיפי הגדרה,,1,-,-,-,-,-,1
-2.0,מועצה אזורית נווה מדבר,עבירות בטחון,,103,32,15,11,15,15,15
-2.0,מועצה אזורית נווה מדבר,עבירות כלכליות,,1,1,-,-,-,-,-
-2.0,מועצה אזורית נווה מדבר,עבירות כלפי המוסר,,243,67,75,42,31,16,12
-2.0,מועצה אזורית נווה מדבר,עבירות כלפי הרכוש,,238,62,40,33,31,30,42
-2.0,מועצה אזורית נווה מדבר,עבירות מין,,7,2,2,2,-,-,1
-2.0,מועצה אזורית נווה מדבר,עבירות מרמה,,12,6,3,1,-,1,1
-2.0,מועצה אזורית נווה מדבר,עבירות נגד אדם,,11,-,2,4,1,-,4
-2.0,מועצה אזורית נווה מדבר,עבירות נגד גוף,,170,61,30,28,15,18,18
-2.0,מועצה אזורית נווה מדבר,עבירות סדר ציבורי,,980,195,267,298,89,69,62
-2.0,מועצה אזורית נווה מדבר,עבירות רשוי,,16,1,-,8,-,4,3
-2.0,מועצה אזורית נווה מדבר,עבירות תנועה,,37,10,6,6,4,5,6
-2.0,מועצה אזורית נווה מדבר,שאר עבירות,,1,-,-,-,-,1,-
-2.0,מועצה אזורית נחל שורק,Total,,993,140,162,188,132,215,156
-2.0,מועצה אזורית נחל שורק,-,,1,1,-,-,-,-,-
-2.0,מועצה אזורית נחל שורק,סעיפי הגדרה,,4,-,1,1,1,-,1
-2.0,מועצה אזורית נחל שורק,עבירות בטחון,,5,-,3,-,-,2,-
-2.0,מועצה אזורית נחל שורק,עבירות כלכליות,,1,-,-,-,-,-,1
-2.0,מועצה אזורית נחל שורק,עבירות כלפי המוסר,,22,5,7,4,4,-,2
-2.0,מועצה אזורית נחל שורק,עבירות כלפי הרכוש,,690,83,112,141,85,157,112
-2.0,מועצה אזורית נחל שורק,עבירות מין,,23,4,9,3,3,3,1
-2.0,מועצה אזורית נחל שורק,עבירות מרמה,,40,13,3,4,3,14,3
-2.0,מועצה אזורית נחל שורק,עבירות נגד אדם,,1,-,-,-,1,-,-
-2.0,מועצה אזורית נחל שורק,עבירות נגד גוף,,91,18,15,15,15,13,15
-2.0,מועצה אזורית נחל שורק,עבירות סדר ציבורי,,213,31,33,37,35,43,34
-2.0,מועצה אזורית נחל שורק,עבירות רשוי,,2,1,-,-,-,1,-
-2.0,מועצה אזורית נחל שורק,עבירות תנועה,,8,-,4,2,-,-,2
-2.0,מועצה אזורית עמק הירדן,Total,,2500,321,401,451,468,447,412
-2.0,מועצה אזורית עמק הירדן,-,,6,-,2,-,1,3,-
-2.0,מועצה אזורית עמק הירדן,סעיפי הגדרה,,2,-,1,-,-,-,1
-2.0,מועצה אזורית עמק הירדן,עבירות בטחון,,49,6,6,4,5,8,20
-2.0,מועצה אזורית עמק הירדן,עבירות כלכליות,,6,1,2,2,-,-,1
-2.0,מועצה אזורית עמק הירדן,עבירות כלפי המוסר,,479,45,71,107,116,86,54
-2.0,מועצה אזורית עמק הירדן,עבירות כלפי הרכוש,,1221,167,173,211,221,246,203
-2.0,מועצה אזורית עמק הירדן,עבירות מין,,63,11,16,11,8,5,12
-2.0,מועצה אזורית עמק הירדן,עבירות מנהליות,,3,-,-,2,1,-,-
-2.0,מועצה אזורית עמק הירדן,עבירות מרמה,,77,8,14,6,14,24,11
-2.0,מועצה אזורית עמק הירדן,עבירות נגד אדם,,4,1,-,-,2,-,1
-2.0,מועצה אזורית עמק הירדן,עבירות נגד גוף,,365,61,78,51,67,48,60
-2.0,מועצה אזורית עמק הירדן,עבירות סדר ציבורי,,632,83,120,143,95,94,97
-2.0,מועצה אזורית עמק הירדן,עבירות רשוי,,13,2,3,2,1,2,3
-2.0,מועצה אזורית עמק הירדן,עבירות תנועה,,38,2,2,20,4,10,-
-2.0,מועצה אזורית עמק הירדן,שאר עבירות,,4,-,1,1,-,1,1
-2.0,מועצה אזורית עמק המעיינות,Total,,3153,526,438,451,525,572,641
-2.0,מועצה אזורית עמק המעיינות,-,,1,1,-,-,-,-,-
-2.0,מועצה אזורית עמק המעיינות,עבירות בטחון,,45,15,7,3,4,3,13
-2.0,מועצה אזורית עמק המעיינות,עבירות כלכליות,,6,1,2,-,2,-,1
-2.0,מועצה אזורית עמק המעיינות,עבירות כלפי המוסר,,336,60,42,56,38,47,93
-2.0,מועצה אזורית עמק המעיינות,עבירות כלפי הרכוש,,1178,155,139,178,253,229,224
-2.0,מועצה אזורית עמק המעיינות,עבירות מין,,60,12,12,12,5,7,12
-2.0,מועצה אזורית עמק המעיינות,עבירות מרמה,,92,15,17,11,17,15,17
-2.0,מועצה אזורית עמק המעיינות,עבירות נגד אדם,,8,2,2,-,3,1,-
-2.0,מועצה אזורית עמק המעיינות,עבירות נגד גוף,,460,80,77,61,77,87,78
-2.0,מועצה אזורית עמק המעיינות,עבירות סדר ציבורי,,1429,276,222,194,193,255,289
-2.0,מועצה אזורית עמק המעיינות,עבירות רשוי,,26,4,3,3,4,4,8
-2.0,מועצה אזורית עמק המעיינות,עבירות תנועה,,20,6,4,4,1,3,2
-2.0,מועצה אזורית עמק המעיינות,שאר עבירות,,1,-,-,1,-,-,-
-2.0,מועצה אזורית עמק חפר,Total,,8260,1085,1052,1388,1718,1551,1466
-2.0,מועצה אזורית עמק חפר,-,,22,6,6,1,2,3,4
-2.0,מועצה אזורית עמק חפר,סעיפי הגדרה,,8,-,3,3,-,2,-
-2.0,מועצה אזורית עמק חפר,עבירות בטחון,,47,7,12,10,5,7,6
-2.0,מועצה אזורית עמק חפר,עבירות כלכליות,,10,3,2,-,1,3,1
-2.0,מועצה אזורית עמק חפר,עבירות כלפי המוסר,,226,24,40,55,43,35,29
-2.0,מועצה אזורית עמק חפר,עבירות כלפי הרכוש,,5713,725,617,931,1322,1097,1021
-2.0,מועצה אזורית עמק חפר,עבירות מין,,111,22,17,22,12,19,19
-2.0,מועצה אזורית עמק חפר,עבירות מנהליות,,1,1,-,-,-,-,-
